brand,address,seat
WOO-无界空间,北京市朝阳区清河营南街7号院华贸天地4号楼3层,600
WOO-无界空间,北京市东城区东直门外大街42号宇飞大厦五层,400
WOO-无界空间,青年路113号东院,400
WOO-无界空间,望京西园221幢楼博泰大厦10层,200
WOO-无界空间,黄木厂路一号院一号楼商业二层,150
WOO-无界空间,曙光西里甲10号东枫曙光中心二层,400
WOO-无界空间,龙翔商务中心,1500
WOO-无界空间,北京市朝阳区光华东里8号,300
URWORK-优客工场,LG双子座大厦4层,68
URWORK-优客工场,海淀区学清路甲8号圣熙8号购物中心四层,552
URWORK-优客工场,上地信息产业基地的东侧,348
URWORK-优客工场,东城区北新桥板桥南巷人民美术印刷厂内,106
URWORK-优客工场,望京凯德MALL,200
URWORK-优客工场,房山区中细软大厦3层4层,338
URWORK-优客工场,大兴区欣荣北大街45号,232
URWORK-优客工场,坤广场购物中心,139
URWORK-优客工场,朝阳区容创路17号时代凌宇大厦6层,236
URWORK-优客工场,中关村南大街方圆大厦商务楼1-3层 常经理,1314
URWORK-优客工场,中关村大街1号海龙大厦11层 ,228
URWORK-优客工场,大兴区西红门核心商业区鸿坤购物中心5层- ,246
URWORK-优客工场,朝阳区道家村一号,531
URWORK-优客工场,亚奥商圈北四环首华大厦,370
URWORK-优客工场,上地-回龙观万科金域国际中心B座19层,423
URWORK-优客工场,光华路2号,1325
URWORK-优客工场,房山区良乡小西庄高校大学生创业园8、9层,335
URWORK-优客工场,顺义空港社区位于MAX空港企业园,777
URWORK-优客工场,西大望路15号外企大厦B座18层,173
URWORK-优客工场,北京市经济技术开发区的锋创科技园16号楼,402
URWORK-优客工场,西四环四季青路7号,874
URWORK-优客工场,昌平区 -回龙观 上地产业园 龙域北街,348
URWORK-优客工场,朝阳区酒仙桥,770
URWORK-优客工场,北京市房山区长阳镇翠林东街1号,438
URWORK-优客工场,北京市东城区王府井大街55号,542
URWORK-优客工场,东城区崇外大街9号正仁大厦11层,140
URWORK-优客工场,亦庄开发区亦城国际中心A座B1层,212
URWORK-优客工场,北京市大兴区兴盛街与荣华南路东北角,208
URWORK-优客工场,北京市丰台区南方庄乙56号院,340
Servoffice-世鳌国际,北京市朝阳区建国路126号 瑞赛大厦14层、15层,160
Servoffice-世鳌国际,北京市朝阳区建外大街光华东里8号楼 中海广场南楼12层,200
Servoffice-世鳌国际,北京市西城区复兴门南大街乙2号 天银大厦A座西9层,200
Servoffice-世鳌国际,北京朝阳朝外大街三丰北里1号 悠唐国际A座8层,320
Servoffice-世鳌国际,北京朝阳区东三环北路2号 南银大厦2层,270
Servoffice-世鳌国际,北京朝阳区建国路乙118号-京汇大厦3层,200
Servoffice-世鳌国际,北京市朝阳区光华路15号 亿利生态广场4层,400
Servoffice-世鳌国际,北京市朝阳区建国门外大街甲6号,400
Funwork,北京市朝阳区酒仙桥路16号新港大厦6层,308
Funwork,北京市东城区王府井东街8号澳门中心B1层,402
Funwork,北京朝阳区金汇路中骏·世界城D座B1层,751
Fountown -方糖小镇,北京市朝阳区东三环中路16号京粮大厦4层,425
Distrii办伴,北京市朝阳区三里屯西五街5号院D座4层,141
Distrii办伴,北京市朝阳区慈云寺北里210号远洋国际中心二期E座5层,451
Distrii办伴,北京市朝阳区西大望路15号外企大厦B座7、19-22层,840
Distrii办伴,TBC,205
Distrii办伴,北京市海淀区海淀大街27号天使大厦5层,658
,,NA
,,NA
,,NA
,,NA
,,NA
,,NA
